"","Income","Limit","Rating","Cards","Age","Education","Gender1","Student1","Married1","Ethnicity1","Ethnicity2","Balance"
"1",-0.860505332538876,-0.489385912830843,-0.464956527113024,-0.698255345561197,-1.25610102760555,-0.783948131463587,-1.03433916727221,-0.33291640592397,0.794400043159256,-0.0105675422149325,1.00375551088307,-0.406767567081933
"2",1.72527646449702,0.827225090261341,0.827666567446399,0.0309930571136823,1.52653883971031,0.495967185211658,0.964383861273123,2.99624765331573,0.794400043159256,1.39843808644273,-0.993767893859362,0.833012735229121
"3",1.68464575001773,1.01351753229149,1.02802314710311,0.760241459788561,0.888850536783761,-0.783948131463587,-1.03433916727221,-0.33291640592397,-1.2556645843485,1.39843808644273,-0.993767893859362,0.130470563919524
"5",0.302548869430733,0.0699246514968996,0.0133140178739621,-0.698255345561197,0.714935545076519,0.815946014380469,-1.03433916727221,-0.33291640592397,0.794400043159256,-0.0105675422149325,1.00375551088307,-0.411117673405831
"7",-0.68728570132655,-0.583831848557758,-0.620071298460155,-0.698255345561197,-1.08218603589831,-0.463969302294776,0.964383861273123,-0.33291640592397,-1.2556645843485,-1.4195731708726,-0.993767893859362,-0.689524478135331
"8",0.743074339406585,1.03041382354539,1.01509691615751,-0.698255345561197,1.81639715922238,-1.42390578980121,-1.03433916727221,-0.33291640592397,-1.2556645843485,1.39843808644273,-0.993767893859362,0.765586087208695
"12",-0.856135828328115,-1.48366766738713,-1.40210827066861,0.0309930571136823,0.483048889466864,0.815946014380469,-1.03433916727221,-0.33291640592397,-1.2556645843485,-0.0105675422149325,1.00375551088307,-1.13106027001102
"14",-0.0436066589542597,0.947232081987742,1.00863380068472,-1.42750374823608,-0.386526069069344,-1.42390578980121,-1.03433916727221,-0.33291640592397,0.794400043159256,-0.0105675422149325,1.00375551088307,1.22017219805608
"17",0.237744014772428,-0.442596183204664,-0.445567180694633,0.0309930571136823,1.00479386458859,1.13592484354928,0.964383861273123,-0.33291640592397,0.794400043159256,-1.4195731708726,-0.993767893859362,-1.13106027001102
"20",-0.0890892255117305,0.818993563753031,0.80181410555521,-0.698255345561197,-0.676384388581414,-1.42390578980121,-1.03433916727221,-0.33291640592397,-1.2556645843485,1.39843808644273,-0.993767893859362,1.14839544371176
"24",0.533650244733664,0.192097834409698,0.278301752258644,1.48948986246344,-0.444497732971758,-1.74388461897002,-1.03433916727221,-0.33291640592397,0.794400043159256,-1.4195731708726,-0.993767893859362,-0.237113420449894
"26",-0.883232429115628,-0.178754096701492,-0.187042561782748,1.48948986246344,-1.77784600272728,0.815946014380469,0.964383861273123,-0.33291640592397,0.794400043159256,-1.4195731708726,-0.993767893859362,0.328400401656902
"29",4.01242818479094,3.75981471840579,3.83947837776985,-0.698255345561197,-0.850299380288655,0.175988356042846,0.964383861273123,-0.33291640592397,0.794400043159256,-1.4195731708726,-0.993767893859362,2.80361089995511
"31",-0.314288932789737,0.40308485596478,0.3752484843506,0.760241459788561,-0.502469396874172,-2.70382110647645,0.964383861273123,-0.33291640592397,0.794400043159256,-0.0105675422149325,1.00375551088307,0.746010608751152
"34",-0.39302512879534,-1.25925026047639,-1.24699349932148,0.760241459788561,-1.48798768321521,-1.1039269606324,-1.03433916727221,-0.33291640592397,0.794400043159256,-0.0105675422149325,1.00375551088307,-1.13106027001102
"46",0.912520307891435,1.22753722150753,1.35117892074296,0.0309930571136823,-0.32855440516693,-0.463969302294776,0.964383861273123,-0.33291640592397,0.794400043159256,-0.0105675422149325,1.00375551088307,1.03746773245235
"47",-0.728852738136715,0.133177434139696,0.136113211857107,-0.698255345561197,0.483048889466864,0.815946014380469,0.964383861273123,2.99624765331573,0.794400043159256,1.39843808644273,-0.993767893859362,1.56818070396796
"51",-0.251299975985255,0.193830787358816,0.136113211857107,0.0309930571136823,-0.386526069069344,0.495967185211658,-1.03433916727221,-0.33291640592397,0.794400043159256,-1.4195731708726,-0.993767893859362,0.291424497903766
